sequence,y_true,confidence
9 v -1 w -1 w -1 b -1 c -1 w -2,0,"[0.8685414029937372, 0.1314585970062628]"
9 v -1 v -1 z -1 v -1 w -1 w -2,0,"[0.9734881386321955, 0.026511861367804458]"
9 v -1 z -1 w -1 w -1 z -2,1,"[0.03729055050854757, 0.9627094494914524]"
9 v -1 a -1 v -1 z -1 w -2,0,"[0.9092422983916431, 0.09075770160835694]"
9 z -1 w -1 v -2,0,"[0.909564598958606, 0.09043540104139405]"
9 w -1 v -1 w -1 b -1 c -1 z -1 v -2,0,"[0.8452088195838465, 0.1547911804161535]"
9 v -1 b -1 c -1 w -1 z -1 z -2,1,"[0.4955669916450195, 0.5044330083549805]"
9 v -1 w -1 v -1 v -1 v -1 z -1 a -2,0,"[0.9479811423010623, 0.05201885769893766]"
9 w -1 v -1 w -2,1,"[0.0018742625044223526, 0.9981257374955776]"
9 z -1 z -1 w -1 w -1 a -2,1,"[0.6214961769724495, 0.3785038230275505]"
9 z -1 z -1 v -1 v -1 z -1 w -1 b -1 c -2,0,"[0.41779274848553993, 0.5822072515144601]"
9 v -1 w -1 a -1 z -1 w -1 w -1 v -2,1,"[0.39209186082201686, 0.6079081391779831]"
9 w -1 z -1 w -2,1,"[0.0403874816023575, 0.9596125183976425]"
9 w -1 w -1 v -1 v -2,0,"[0.9648891546083911, 0.035110845391608934]"
9 z -1 w -1 w -2,0,"[0.9637117496932889, 0.03628825030671112]"
9 v -1 z -1 w -1 b -1 c -1 v -2,0,"[0.7412530022160901, 0.25874699778390986]"
9 v -1 z -1 w -1 v -1 v -1 v -2,0,"[0.9355591758943548, 0.06444082410564525]"
9 z -1 w -1 v -1 v -2,0,"[0.9949301314178824, 0.005069868582117565]"
9 w -1 v -1 v -1 v -1 v -2,1,"[0.08563455398600495, 0.914365446013995]"
9 z -1 v -1 v -2,1,"[0.03388188397391134, 0.9661181160260887]"
9 b -1 c -1 z -1 z -1 w -1 w -1 w -2,1,"[0.3555062336950605, 0.6444937663049395]"
9 v -1 v -1 w -1 v -1 w -2,1,"[0.006320986371676551, 0.9936790136283234]"
9 z -1 v -1 v -2,1,"[0.09432609019459048, 0.9056739098054095]"
9 v -1 w -1 a -1 v -1 v -1 z -1 v -2,0,"[0.8552617774542677, 0.14473822254573232]"
9 w -1 w -1 w -1 z -1 w -2,1,"[0.06152852100903117, 0.9384714789909688]"
9 w -1 w -1 w -1 w -1 z -1 w -2,0,"[0.9565777317141365, 0.04342226828586346]"
9 w -1 w -1 v -1 v -1 w -2,0,"[0.9903181818046857, 0.009681818195314329]"
9 z -1 z -1 v -1 z -1 a -1 w -1 v -2,0,"[0.4696311016778416, 0.5303688983221584]"
9 z -1 w -1 v -1 z -1 v -1 w -2,1,"[0.03726481015103156, 0.9627351898489684]"
9 v -1 w -1 w -2,1,"[0.017109438079737194, 0.9828905619202628]"
9 z -1 w -1 v -1 v -1 a -1 v -1 z -2,1,"[0.497086789307295, 0.502913210692705]"
9 z -1 z -1 w -2,0,"[0.9818625946286169, 0.018137405371383055]"
9 v -1 v -1 z -1 w -2,1,"[0.02385542342846103, 0.976144576571539]"
9 b -1 c -1 z -1 z -1 z -1 z -1 z -2,1,"[0.6508510464543948, 0.3491489535456051]"
9 z -1 v -1 w -1 z -2,0,"[0.903046040657985, 0.09695395934201505]"
9 z -1 z -1 v -1 w -1 z -1 v -2,0,"[0.9959558205826634, 0.004044179417336558]"
9 v -1 z -1 w -1 v -1 z -2,0,"[0.927070439520753, 0.07292956047924702]"
9 w -1 v -1 v -1 w -2,1,"[0.03681400470913332, 0.9631859952908667]"
9 w -1 w -1 z -2,1,"[0.07587806377951545, 0.9241219362204846]"
9 z -1 z -1 b -1 c -1 z -1 v -1 z -2,1,"[0.4560835689812963, 0.5439164310187037]"
9 v -1 w -1 v -1 v -1 z -1 w -2,1,"[0.02974415209592496, 0.970255847904075]"
9 z -1 w -1 v -1 v -1 z -2,0,"[0.9779856809850156, 0.022014319014984407]"
9 w -1 v -1 w -1 z -1 z -2,0,"[0.9013809624069617, 0.09861903759303826]"
9 v -1 z -1 w -1 w -1 b -1 c -1 v -2,0,"[0.5473054344412117, 0.4526945655587883]"
9 w -1 z -1 w -1 z -1 z -1 v -2,0,"[0.9587148990647573, 0.04128510093524271]"
9 w -1 v -1 z -2,1,"[0.01793171977763741, 0.9820682802223626]"
9 z -1 b -1 c -1 w -1 z -1 z -2,1,"[0.6695227879152732, 0.33047721208472686]"
9 w -1 w -1 z -2,1,"[0.0638466959264441, 0.9361533040735559]"
9 v -1 z -1 z -2,1,"[0.013021137391419746, 0.9869788626085803]"
9 v -1 v -1 z -1 w -1 z -2,1,"[0.06519508535271723, 0.9348049146472828]"
9 z -1 v -1 w -1 v -1 z -1 v -2,0,"[0.947316955272175, 0.05268304472782507]"
9 z -1 z -1 w -1 z -1 b -1 c -2,1,"[0.6574008152685775, 0.3425991847314224]"
9 w -1 z -1 z -1 v -1 z -1 v -2,1,"[0.0012856561144808376, 0.9987143438855192]"
9 z -1 v -1 w -2,0,"[0.9494627487993839, 0.05053725120061613]"
9 w -1 z -1 w -2,1,"[0.09926433942866963, 0.9007356605713304]"
9 z -1 w -1 v -1 v -1 w -2,1,"[0.02166436612467515, 0.9783356338753249]"
9 z -1 v -1 w -2,0,"[0.9516641216216005, 0.048335878378399526]"
9 v -1 v -1 w -2,0,"[0.9603768178602706, 0.03962318213972941]"
9 w -1 w -1 w -2,0,"[0.9641138978974354, 0.03588610210256461]"
9 w -1 w -1 v -1 a -1 v -2,0,"[0.25908768251753844, 0.7409123174824616]"
9 v -1 v -1 w -1 v -1 z -1 w -2,0,"[0.9277733504292333, 0.07222664957076678]"
9 v -1 b -1 c -1 z -1 v -1 z -1 z -2,1,"[0.5944402987586356, 0.4055597012413644]"
9 b -1 c -1 v -1 w -1 v -1 v -1 z -1 v -2,0,"[0.44023325152113535, 0.5597667484788647]"
9 v -1 z -1 z -1 z -1 v -2,0,"[0.9200124113085109, 0.07998758869148916]"
9 v -1 z -1 w -1 z -1 v -1 a -2,1,"[0.33076854421816415, 0.6692314557818358]"
9 w -1 v -1 v -2,0,"[0.9777336281800685, 0.022266371819931553]"
9 z -1 v -1 v -1 w -1 z -1 w -2,0,"[0.9142426492068262, 0.08575735079317377]"
9 v -1 w -1 z -1 v -1 z -2,1,"[0.029819341552904444, 0.9701806584470956]"
9 v -1 v -1 v -1 w -1 w -2,1,"[0.013463485927769026, 0.986536514072231]"
