sequence,y_true,confidence
9 z -1 v -1 w -1 v -1 w -1 w -2,1,"[0.07943319557629136, 0.9205668044237086]"
9 z -1 v -1 v -1 v -2,0,"[0.9940300645253196, 0.00596993547468041]"
9 v -1 v -1 w -1 v -1 v -2,0,"[0.9450675968847244, 0.054932403115275544]"
9 b -1 c -1 w -1 v -1 z -1 v -2,1,"[0.32016848394671404, 0.679831516053286]"
9 v -1 v -1 z -1 w -1 v -1 w -1 a -2,0,"[0.8606858911503019, 0.13931410884969808]"
9 v -1 v -1 z -1 w -2,0,"[0.9534837896383639, 0.04651621036163614]"
9 v -1 w -1 z -1 w -1 z -2,0,"[0.973755132826271, 0.026244867173729036]"
9 v -1 a -1 v -1 v -1 z -1 z -1 z -2,1,"[0.4772942405734164, 0.5227057594265836]"
9 v -1 v -1 w -2,0,"[0.9534370004794102, 0.046562999520589815]"
9 z -1 v -1 w -2,1,"[0.0004312134188634298, 0.9995687865811366]"
9 w -1 v -1 z -1 z -1 w -1 z -2,0,"[0.9971293792162899, 0.0028706207837100985]"
9 v -1 w -1 v -1 z -1 z -1 v -2,0,"[0.9178815243792559, 0.08211847562074417]"
9 w -1 z -1 v -2,0,"[0.9684675015953772, 0.03153249840462276]"
9 v -1 z -1 v -1 w -1 v -1 w -2,0,"[0.9167582744891285, 0.08324172551087156]"
9 v -1 z -1 v -1 z -2,1,"[0.04427809366042723, 0.9557219063395728]"
9 v -1 w -1 v -2,0,"[0.9951978111890217, 0.004802188810978303]"
9 z -1 z -1 v -2,1,"[0.05862343421150562, 0.9413765657884944]"
9 w -1 z -1 w -2,0,"[0.983191311510444, 0.016808688489555978]"
9 v -1 a -1 w -1 z -1 w -1 z -1 w -2,1,"[0.48937630064025583, 0.5106236993597442]"
9 v -1 v -1 w -1 v -1 w -1 v -2,1,"[0.05155909265317726, 0.9484409073468227]"
9 z -1 w -1 v -1 w -2,1,"[0.047837997183726166, 0.9521620028162738]"
9 v -1 w -1 z -2,1,"[0.0008890931301938076, 0.9991109068698062]"
9 v -1 z -1 v -1 z -2,1,"[0.013496497258373763, 0.9865035027416262]"
9 z -1 z -1 v -1 w -2,1,"[0.06617657516188613, 0.9338234248381139]"
9 w -1 v -1 w -1 z -1 w -1 z -2,1,"[0.07688757387043688, 0.9231124261295631]"
9 v -1 w -1 v -2,1,"[0.04907588251863493, 0.9509241174813651]"
9 w -1 a -1 z -1 z -1 z -1 z -1 w -2,1,"[0.8277452897141493, 0.1722547102858507]"
9 z -1 w -1 v -1 z -1 z -1 w -2,0,"[0.9910057550663074, 0.008994244933692564]"
9 a -1 v -1 z -1 w -1 z -2,1,"[0.31299480108241196, 0.687005198917588]"
9 z -1 z -1 z -1 v -1 z -1 z -2,1,"[0.027362069120513866, 0.9726379308794861]"
9 z -1 z -1 v -1 v -2,1,"[0.019144213786787434, 0.9808557862132126]"
9 v -1 v -1 v -1 w -1 v -2,0,"[0.949056999671145, 0.05094300032885499]"
9 v -1 v -1 v -1 z -2,0,"[0.939533501170886, 0.06046649882911401]"
9 z -1 z -1 w -1 a -1 z -2,1,"[0.5921935441906461, 0.40780645580935393]"
9 w -1 w -1 w -1 z -1 z -1 v -1 b -1 c -2,0,"[0.861925694605729, 0.13807430539427096]"
9 z -1 v -1 w -2,1,"[0.08837422830165698, 0.911625771698343]"
9 w -1 v -1 w -1 v -2,0,"[0.9979288032906901, 0.0020711967093099194]"
9 z -1 v -1 b -1 c -1 z -1 z -2,1,"[0.4041034370923605, 0.5958965629076395]"
9 a -1 w -1 v -1 z -1 w -1 z -1 z -2,0,"[0.23509568997599772, 0.7649043100240023]"
9 z -1 z -1 v -1 v -1 a -1 z -1 w -2,0,"[0.2103207889260389, 0.7896792110739611]"
9 z -1 v -1 v -1 w -1 z -1 v -2,0,"[0.9305464192592914, 0.06945358074070862]"
9 w -1 v -1 v -1 z -1 w -1 w -2,1,"[0.0805657884244585, 0.9194342115755415]"
9 z -1 v -1 v -1 b -1 c -1 w -2,0,"[0.3238571349438789, 0.6761428650561211]"
9 z -1 v -1 v -1 z -1 w -1 w -2,0,"[0.9370229596586324, 0.06297704034136768]"
9 w -1 v -1 w -1 b -1 c -1 v -2,0,"[0.614606132208589, 0.38539386779141105]"
9 z -1 w -1 w -1 b -1 c -1 v -1 z -2,1,"[0.4069234991167525, 0.5930765008832475]"
9 v -1 v -1 z -1 w -2,1,"[0.06789902641913181, 0.9321009735808682]"
9 w -1 v -1 z -1 v -1 z -1 v -2,0,"[0.9591965559486858, 0.04080344405131419]"
9 v -1 w -1 z -1 w -1 a -1 w -1 w -2,1,"[0.5870276101571241, 0.4129723898428759]"
9 v -1 v -1 z -1 z -1 w -1 v -1 a -2,0,"[0.1336408588408985, 0.8663591411591015]"
9 z -1 v -1 v -1 z -1 z -1 w -2,1,"[0.07211296431140812, 0.9278870356885919]"
9 w -1 v -1 z -1 z -1 b -1 c -1 v -1 z -2,1,"[0.571258122535886, 0.42874187746411396]"
9 b -1 c -1 w -1 z -1 z -1 w -1 w -2,1,"[0.17575845766417897, 0.824241542335821]"
9 v -1 w -1 w -2,0,"[0.9016531298833954, 0.09834687011660465]"
9 v -1 v -1 v -1 v -1 z -1 a -2,0,"[0.5934700389744189, 0.40652996102558114]"
9 v -1 w -1 z -1 v -1 z -1 w -2,1,"[0.08178711722601062, 0.9182128827739894]"
9 a -1 z -1 w -1 w -1 v -1 v -1 z -2,0,"[0.14339803625915692, 0.8566019637408431]"
9 v -1 v -1 v -1 v -1 v -1 z -2,0,"[0.933430108886994, 0.06656989111300603]"
9 w -1 w -1 z -1 z -2,0,"[0.9666395557627399, 0.033360444237260124]"
9 a -1 z -1 z -1 v -1 z -1 z -2,0,"[0.020429551977465543, 0.9795704480225345]"
9 w -1 z -1 z -1 w -1 w -1 v -2,1,"[0.015410221391589651, 0.9845897786084103]"
9 w -1 v -1 w -1 z -2,0,"[0.9485676720594602, 0.05143232794053977]"
9 z -1 z -1 v -1 w -2,0,"[0.9512519227310634, 0.048748077268936645]"
9 w -1 z -1 w -1 z -1 v -1 z -2,1,"[0.05500086336253818, 0.9449991366374618]"
9 v -1 z -1 w -1 z -1 v -2,1,"[0.032268434813796154, 0.9677315651862038]"
9 v -1 w -1 w -1 a -1 z -1 v -1 z -2,1,"[0.8302447102692544, 0.1697552897307456]"
9 w -1 w -1 w -1 b -1 c -1 w -1 z -2,0,"[0.26702963189801987, 0.7329703681019801]"
9 a -1 w -1 z -1 z -1 z -1 z -2,0,"[0.07868387190381365, 0.9213161280961863]"
9 v -1 w -1 z -1 z -1 b -1 c -2,1,"[0.5938739881902122, 0.4061260118097878]"
9 v -1 z -1 w -2,1,"[0.05845290460354191, 0.9415470953964581]"
9 v -1 w -1 w -1 v -1 z -2,0,"[0.9992160031230604, 0.00078399687693963]"
9 z -1 v -1 z -1 w -1 w -2,1,"[0.09378974528337469, 0.9062102547166253]"
9 a -1 w -1 v -1 v -1 z -1 z -1 z -2,0,"[0.8965739819487244, 0.1034260180512756]"
9 w -1 z -1 b -1 c -1 v -1 v -1 w -2,0,"[0.2760986801121781, 0.7239013198878219]"
9 b -1 c -1 w -1 z -1 z -1 w -1 v -2,0,"[0.23122416775097654, 0.7687758322490235]"
9 w -1 w -1 v -2,1,"[0.05981200979323453, 0.9401879902067655]"
9 w -1 z -1 z -1 v -2,1,"[0.07723692606510024, 0.9227630739348998]"
9 w -1 z -1 v -1 w -2,0,"[0.9824191476970945, 0.017580852302905483]"
9 w -1 v -1 v -1 w -1 z -2,1,"[0.05788713125532807, 0.9421128687446719]"
9 z -1 z -1 v -1 z -1 b -1 c -2,0,"[0.6498589886709738, 0.3501410113290262]"
9 v -1 w -1 w -2,1,"[0.04705658698450532, 0.9529434130154947]"
